method,scale_factor,min_neighbors,min_size,mean_iou,mAP
VJ_L_sf=1.05_mn=1_ms=None,1.05,1,,0.205,0.042
VJ_L_sf=1.05_mn=2_ms=None,1.05,2,,0.301,0.04
VJ_L_sf=1.1_mn=1_ms=None,1.1,1,,0.304,0.038
VJ_L_sf=1.05_mn=3_ms=None,1.05,3,,0.348,0.036
VJ_L_sf=1.05_mn=4_ms=None,1.05,4,,0.409,0.036
VJ_L_sf=1.1_mn=2_ms=None,1.1,2,,0.408,0.034
VJ_L_sf=1.05_mn=5_ms=None,1.05,5,,0.432,0.034
VJ_L_sf=1.2_mn=1_ms=None,1.2,1,,0.398,0.034
VJ_L_sf=1.05_mn=6_ms=None,1.05,6,,0.475,0.032
VJ_L_sf=1.1_mn=3_ms=None,1.1,3,,0.473,0.032
VJ_L_sf=1.05_mn=7_ms=None,1.05,7,,0.506,0.031
VJ_L_sf=1.2_mn=2_ms=None,1.2,2,,0.527,0.03
VJ_L_sf=1.1_mn=4_ms=None,1.1,4,,0.511,0.029
VJ_L_sf=1.1_mn=5_ms=None,1.1,5,,0.536,0.027
VJ_L_sf=1.2_mn=3_ms=None,1.2,3,,0.569,0.027
VJ_L_sf=1.3_mn=1_ms=None,1.3,1,,0.452,0.026
VJ_L_sf=1.1_mn=6_ms=None,1.1,6,,0.541,0.026
VJ_L_sf=1.1_mn=7_ms=None,1.1,7,,0.555,0.024
VJ_L_sf=1.2_mn=4_ms=None,1.2,4,,0.579,0.023
VJ_L_sf=1.3_mn=2_ms=None,1.3,2,,0.548,0.02
VJ_L_sf=1.2_mn=5_ms=None,1.2,5,,0.572,0.019
VJ_L_sf=1.2_mn=6_ms=None,1.2,6,,0.592,0.018
VJ_L_sf=1.3_mn=3_ms=None,1.3,3,,0.582,0.016
VJ_L_sf=1.2_mn=7_ms=None,1.2,7,,0.592,0.015
VJ_L_sf=1.3_mn=4_ms=None,1.3,4,,0.6,0.012
VJ_L_sf=1.3_mn=5_ms=None,1.3,5,,0.577,0.007
VJ_L_sf=1.3_mn=6_ms=None,1.3,6,,0.564,0.005
VJ_L_sf=1.3_mn=7_ms=None,1.3,7,,0.58,0.005
